             VARIABLE : UPWELLING_INDEX
             DATA SET : Transports from FNMOC 360x181 6-hr pressure
             FILENAME : this_month_transport.nc
             FILEPATH : last_month/
             SUBSET   : 120 points (TIME)
             LONGITUDE: 122W
             LATITUDE : 36N
                           122W   
                           239
 02-FEB-2026 12:00 /  7:  48.67
 02-FEB-2026 18:00 /  8:  36.29
 03-FEB-2026 06:00 /  9:  36.29
 03-FEB-2026 12:00 / 10:   4.50
 03-FEB-2026 18:00 / 11:  12.11
 04-FEB-2026 00:00 / 12:  11.05
 04-FEB-2026 06:00 / 13:  -1.95
 04-FEB-2026 12:00 / 14:  -7.99
 04-FEB-2026 18:00 / 15:  -6.03
 05-FEB-2026 00:00 / 16:  -6.31
 05-FEB-2026 06:00 / 17:  -5.06
 05-FEB-2026 12:00 / 18: -11.72
 05-FEB-2026 18:00 / 19:  -0.89
 06-FEB-2026 00:00 / 20:   1.71
 06-FEB-2026 06:00 / 21:  10.40
 06-FEB-2026 12:00 / 22:   3.48
 06-FEB-2026 18:00 / 23:  18.83
 07-FEB-2026 00:00 / 24:  26.69
 07-FEB-2026 06:00 / 25:   8.93
 07-FEB-2026 12:00 / 26:   4.81
 07-FEB-2026 18:00 / 27:  17.41
 08-FEB-2026 00:00 / 28:  23.46
 08-FEB-2026 06:00 / 29:  26.02
